Date,Forecast_Price,Forecast_Lower,Forecast_Upper,Actual_Price
2011-01-01,0.042236703471476095,0.02961408421799969,0.05502189081101844,0.04618833333333333
2011-01-02,0.038460212449752534,0.025883089036193963,0.05113938959005138,0.04376291666666667
2011-01-03,0.045578092929461675,0.03236596826950168,0.05861126233929747,0.0464625
2011-01-04,0.04613893549478651,0.03282640411356854,0.05923621735912265,0.045587083333333334
2011-01-05,0.046627610977658836,0.034370751933192535,0.05952929474394444,0.03535125
2011-01-06,0.04691704008215357,0.03424728141294761,0.059406272849672294,0.02101625
2011-01-07,0.04702647577667999,0.034228011823323745,0.06018305471246702,0.016159166666666665
2011-01-08,0.04458816920495766,0.03235255194753926,0.05732058887462213,0.021065416666666666
2011-01-09,0.041494153093402694,0.028260772497063096,0.05374407793232314,0.041315
2011-01-10,0.049160525716910396,0.035691293664624923,0.0611827238074877,0.04117625
2011-01-11,0.05012681461955148,0.03680667751193726,0.06286242437131011,0.03397125
2011-01-12,0.050872618506729195,0.03826490597709243,0.06448296149230717,0.03820333333333333
2011-01-13,0.05126945053698943,0.038015794839349415,0.06431543559868344,0.04257666666666667
2011-01-14,0.051338993653247164,0.037910788084068774,0.06336060871004273,0.04350291666666667
2011-01-15,0.04871964031629363,0.035983060246391044,0.06144088868137436,0.04757166666666667
2011-01-16,0.04531305486279394,0.032020665365110564,0.058579347219060274,0.04383416666666667
2011-01-17,0.05254814829826642,0.039735251043880246,0.06522893034603784,0.0456025
2011-01-18,0.052980053776663,0.039507130745505145,0.06650589054755912,0.04834375
2011-01-19,0.05310631228394348,0.038881972718889504,0.06522306042321083,0.04654083333333334
2011-01-20,0.052818204586801094,0.0400410091801508,0.06660212292136408,0.04314833333333334
2011-01-21,0.05215845429073027,0.0393265637664813,0.06555079830102144,0.03591375
2011-01-22,0.04878718954913203,0.036222783910273046,0.06155970662778874,0.03203958333333334
2011-01-23,0.04462791737998632,0.03114593087825828,0.05718507843872218,0.04151208333333333
2011-01-24,0.05113091625496484,0.03802043416754598,0.06339247794885165,0.03752791666666667
2011-01-25,0.05087165075473473,0.03812990571308221,0.06329106203441652,0.04237166666666667
2011-01-26,0.05036643261380833,0.03724384855612877,0.06264270541870956,0.049000833333333334
2011-01-27,0.0495232778880506,0.03663185844021126,0.0622314412568471,0.04906666666666667
2011-01-28,0.04839919725978427,0.036039274511323056,0.061466805808011976,0.048841666666666665
2011-01-29,0.044665817372426225,0.03177955613176137,0.05852404228946967,0.0503025
2011-01-30,0.040255095411851245,0.02704570086042456,0.05320281654065738,0.05002916666666667
2011-01-31,0.046622538561829734,0.033361386435117206,0.06172389808051157,0.051214583333333334
2011-02-01,0.046345535649855246,0.034197502032175,0.059359807533191936,0.048666666666666664
2011-02-02,0.045939026314685695,0.033748890097205074,0.05889458290505885,0.04913583333333333
2011-02-03,0.045306455919280474,0.03238024756760536,0.0576125518087646,0.050319583333333334
2011-02-04,0.044497249264455814,0.031003371588104667,0.057582078605467366,0.05067583333333334
2011-02-05,0.041172694720785066,0.028251741309593816,0.05403422360482698,0.050875833333333335
2011-02-06,0.037251992603583986,0.024096411145568264,0.05047412509300833,0.05025374999999999
2011-02-07,0.04417586916721783,0.03152862520639656,0.05726998509155093,0.05181708333333334
2011-02-08,0.04450535172779495,0.030593269213785808,0.056564908884808314,0.05006
2011-02-09,0.0447379172316708,0.03269109390276067,0.0582419896596498,0.04975833333333333
2011-02-10,0.044758948649056704,0.03210624766678271,0.057853174741268415,0.05061666666666667
2011-02-11,0.044599717971604946,0.03195579499814785,0.05810132855477116,0.051131249999999996
2011-02-12,0.041903773128151356,0.02852104799982604,0.054711950776765,0.05293791666666667
2011-02-13,0.038573468716817,0.025858028247346183,0.05165120378996,0.04698875
2011-02-14,0.0460340287672442,0.03321645786996937,0.058802660259656955,0.04538375
2011-02-15,0.046832725007408066,0.035135466376676854,0.06080081798322814,0.047385000000000004
2011-02-16,0.04745537237202953,0.03433944457488257,0.06041457281172986,0.043604166666666666
2011-02-17,0.04777806728690274,0.03438661233279557,0.060502719557192365,0.04376458333333333
2011-02-18,0.047825380642685246,0.034376899405598065,0.060518960891141144,0.04769166666666667
2011-02-19,0.045236878015956085,0.033244989150101434,0.05727194688362635,0.05005041666666666
2011-02-20,0.041913704568641824,0.02799806978232538,0.0544559952342165,0.043723333333333336
2011-02-21,0.04928262263381232,0.0359572124386825,0.06199797283481606,0.04447416666666667
2011-02-22,0.04989508753861207,0.0374327179846476,0.062080048929138,0.04355124999999999
2011-02-23,0.050243567657695,0.037716218100111824,0.06293745399251066,0.04879041666666667
2011-02-24,0.050213040522937104,0.03695208228542543,0.06394130756297488,0.04906666666666667
2011-02-25,0.0498388850091616,0.036379488361387144,0.06205220920451639,0.049403749999999996
2011-02-26,0.04677305186032843,0.0335142873007253,0.059697014391115244,0.046998333333333336
2011-02-27,0.042930260924415646,0.03018621798437794,0.05555369260647248,0.03905375
2011-02-28,0.049751625010511925,0.03693097255384129,0.061857700161382576,0.04537333333333333
2011-03-01,0.04980329839275481,0.03590173687046452,0.06207147852488377,0.046855
2011-03-02,0.04959236864282484,0.03577983834969508,0.062328985478358856,0.045517916666666665
2011-03-03,0.049017936143305255,0.03713481835533742,0.061851274714458226,0.049363750000000005
2011-03-04,0.048128613304722664,0.03686428199761407,0.06173292248211769,0.04904541666666667
2011-03-05,0.04458833688425846,0.031891419316123014,0.0584947821607616,0.04716
2011-03-06,0.040322251724084435,0.027146100872318706,0.05400525272210018,0.049134166666666666
2011-03-07,0.04678007430973783,0.03358914539592021,0.05936311076647116,0.04928083333333333
2011-03-08,0.046534540966536954,0.03368505424448358,0.05935551687743957,0.04678541666666667
2011-03-09,0.046097164294156855,0.033755378205670726,0.05836485366020517,0.04583583333333333
2011-03-10,0.04536924511321659,0.03186213834684084,0.05830040127121257,0.049937916666666665
2011-03-11,0.04439937280720828,0.0313355653609442,0.057071255854459324,0.049175416666666666
2011-03-12,0.040849306256742546,0.02824888626800912,0.05351029593480503,0.04907458333333333
2011-03-13,0.036639990478945415,0.023363202740539362,0.050687354203892955,0.046915000000000005
2011-03-14,0.04321511228248649,0.0303634965692928,0.05620632378388799,0.049205
2011-03-15,0.04313979295343387,0.029536877014064444,0.056658264160345535,0.04901833333333333
2011-03-16,0.04291663327732059,0.030386953189523815,0.05628303823389957,0.045879166666666665
2011-03-17,0.042437048649913954,0.028872047858886363,0.054347249843741056,0.04213666666666666
2011-03-18,0.04173911670846125,0.028691240650191328,0.054422826438606096,0.049826666666666665
2011-03-19,0.038473818622666044,0.025790997548362136,0.0508087880927754,0.049348333333333334
2011-03-20,0.03455141783205304,0.02192230383815297,0.0471882470337471,0.046193333333333336
2011-03-21,0.04140536828941799,0.02845890615111264,0.05453772845951004,0.05002500000000001
2011-03-22,0.04159133938706188,0.027364491515615277,0.05443548893647396,0.047330000000000004
2011-03-23,0.04160356277056314,0.02857459432015459,0.054797355493445284,0.0451875
2011-03-24,0.04132642972520835,0.02945174814341702,0.054464922977380786,0.04311375
2011-03-25,0.04079255380068916,0.027975766171844513,0.052809214598023534,0.05386791666666666
2011-03-26,0.03764917357055607,0.02301611641574017,0.04987734733831356,0.04448041666666667
2011-03-27,0.03380463477183339,0.022132596725211142,0.04701752925821402,0.04015521739130435
2011-03-28,0.04069234116808729,0.027452389453581406,0.05449551723267524,0.044977916666666666
2011-03-29,0.040869760490905425,0.02746969415975398,0.053748514395337066,0.046258749999999994
2011-03-30,0.040834691747767105,0.02698380170978377,0.053365175064598216,0.046378749999999996
2011-03-31,0.04047672552409645,0.028003480688212276,0.05320057356492242,0.049153333333333334
2011-04-01,0.0398351166455463,0.02690516573507954,0.05194339155735371,0.04400333333333333
2011-04-02,0.036564950400465784,0.022974902303965646,0.048737934569235225,0.04786458333333333
2011-04-03,0.03258334927360213,0.020358180792168883,0.04590831365716192,0.042445000000000004
2011-04-04,0.03933311839534023,0.026407994330371238,0.052379232549870675,0.04719916666666666
2011-04-05,0.03938142583066103,0.026997630255277925,0.052373607289665024,0.047946666666666665
2011-04-06,0.03923573428377672,0.026856645630336653,0.05246285404923495,0.0439175
2011-04-07,0.03879492648318554,0.025693119093330306,0.05151200543401597,0.047125
2011-04-08,0.03810685412740816,0.024737967274070037,0.050645252295050604,0.04598208333333333
2011-04-09,0.03483420175153386,0.021614296719482028,0.04749234339576027,0.04576375
2011-04-10,0.030900421934169284,0.01796082007213117,0.043765937608366424,0.03693833333333333
2011-04-11,0.03775314854926477,0.02454379584906095,0.05074137780518925,0.0445025
2011-04-12,0.037962691434427,0.025666271057308607,0.05116164119110426,0.04265791666666666
2011-04-13,0.038037834917704294,0.026305756684163843,0.05127316855648945,0.049382916666666665
2011-04-14,0.037876886632947006,0.024947019943864265,0.050236120376010156,0.049612083333333334
2011-04-15,0.03752520899175787,0.024842711519749226,0.04959972742913885,0.057029166666666666
2011-04-16,0.03464112532548329,0.022267872313115333,0.04714903977475119,0.049299583333333334
2011-04-17,0.031141955947959394,0.01862412970873144,0.04387529334394462,0.042660000000000003
2011-04-18,0.03846758788907953,0.025905763433976076,0.051185876108244356,0.046933333333333334
