Client,Best_Model,Best_wMAPE,Cluster,client_mean,client_std
MT_199,SARIMA,0.019779744090492223,0,469.956873689262,178.1084008310141
MT_215,SARIMA,0.021046694291621156,0,408.49559748315096,117.40721919113156
MT_314,SARIMA,0.021065456792497213,0,1127.6978841600649,318.3803446027534
MT_152,Prophet,0.02171364496139798,0,1058.065380135849,111.34290522867884
MT_229,SARIMA,0.023874892641239057,0,973.9453304155383,272.88608192429973
MT_247,SARIMA,0.024220913264890932,0,466.74936123672484,167.26700113746136
MT_214,SARIMA,0.02591241120715004,0,399.5374747313141,144.2049777134372
MT_225,SARIMA,0.02625724913179749,0,340.5310567531737,106.80200706474497
MT_204,SARIMA,0.02653463397567274,0,893.6346617063601,274.4609766474267
MT_316,SARIMA,0.02763801569102186,0,346.6210006810056,113.44177440595124
MT_273,SARIMA,0.02770405660841461,0,498.9289587428083,155.31574949279457
MT_207,SARIMA,0.02891849528148351,0,859.9806513998004,277.4810955978592
MT_210,SARIMA,0.029653324494550964,0,737.4514237860781,198.51799506263148
MT_186,SARIMA,0.03016260224990878,0,561.8473933059598,181.47745968146103
MT_205,SARIMA,0.030660768172406802,0,534.1951834370307,143.84173727394548
MT_252,SARIMA,0.031353199713708826,0,234.33918626004416,80.09185775749891
MT_227,SARIMA,0.031684230088984223,0,274.24031960710647,94.68655966526337
MT_326,SARIMA,0.032930605820856024,0,256.17611592760466,87.40953181684127
MT_246,SARIMA,0.03337256805572726,0,610.7256223062259,177.73752034922632
MT_189,SARIMA,0.033511230131189396,0,417.5450757638039,119.8141200117318
MT_203,SARIMA,0.03403001964524505,0,539.4779197991977,175.367398241488
MT_104,SARIMA,0.03409364054635422,0,570.5185396687965,384.92683330489564
MT_192,SARIMA,0.03421104106418679,0,468.4342616144807,137.20052019829205
MT_209,SARIMA,0.03430957231528712,0,586.7980384400596,185.15103745193952
MT_193,SARIMA,0.03511545022656481,0,307.14338522500515,92.8135034529794
MT_201,SARIMA,0.03638584774747787,0,297.10269528859544,89.34186642703428
MT_327,SARIMA,0.036405017641161004,0,572.4413304187726,190.85758965910324
MT_317,SARIMA,0.036582684080853065,0,539.4715624216875,198.6303938533987
MT_217,SARIMA,0.03692022408240369,0,215.87561426346272,87.02206023878409
MT_280,SARIMA,0.036920971212343105,0,291.7483878981472,101.29041130435219
MT_299,SARIMA,0.037346852738510204,0,497.3994898099887,138.50028630952352
MT_313,SARIMA,0.03773598176201637,0,239.45395954298738,78.19610992200222
MT_200,SARIMA,0.037780854672476,0,858.0876694624762,278.3352074808318
MT_338,SARIMA,0.039221797319172254,0,243.9393503266161,98.8619027207746
MT_269,SARIMA,0.040078390078840044,0,806.9792462950751,231.54901610546517
MT_195,SARIMA,0.04101696931780633,0,454.455713715159,153.2011419681568
MT_219,SARIMA,0.042284117053456555,0,509.9676123908118,189.9830885037232
MT_290,SARIMA,0.04365574741920915,0,581.96957232365,199.37544087403361
MT_268,SARIMA,0.04545992931823581,0,252.77844473344283,93.15503714669535
MT_350,SARIMA,0.04572795163444585,0,650.532347330444,492.1842007924838
MT_231,SARIMA,0.04602695753900174,0,644.3414603712129,214.17437968770665
MT_325,SARIMA,0.04864341514065079,0,316.70601375323025,95.82745456889697
MT_178,SARIMA,0.04866954789467598,0,458.6552514478812,159.69415572142907
MT_222,SARIMA,0.0488181738150378,0,953.0840808637379,346.2545525210136
MT_202,Prophet,0.0489923641017161,0,243.59944947720575,71.38804690876029
MT_226,SARIMA,0.04918270309223646,0,487.015776427726,122.76506292990658
MT_307,SARIMA,0.05065278303993966,0,784.610984974321,268.44336565483445
MT_360,SARIMA,0.051658752537354156,0,519.4885258920397,305.16675318119474
MT_235,SARIMA,0.05173164317635003,0,794.749284963427,275.5532347765912
MT_238,SARIMA,0.0521189171147452,0,411.4468261355175,97.94842200840536
MT_353,SARIMA,0.053602356563589554,0,524.5068704371296,186.03408110887096
MT_369,Prophet,0.053701418467752886,0,837.9864247262587,138.2051395295449
MT_240,SARIMA,0.05377856421313894,0,366.3514212920184,122.42635129438334
MT_212,SARIMA,0.05473165945525422,0,365.6775066812123,108.18525627609763
MT_254,SARIMA,0.0570151127872124,0,252.12855233937518,76.97412646907534
MT_266,SARIMA,0.058828734863928714,0,282.0402980019408,74.08605089103031
MT_253,Prophet,0.0606515022690173,0,336.1252022919016,121.65524108685116
MT_198,SARIMA,0.06265006326882451,0,248.42249516249908,91.15140836209666
MT_294,SARIMA,0.06385604257343319,0,644.7289336851744,193.03622011648895
MT_213,SARIMA,0.065056923021993,0,1205.992072657614,324.74825379050344
MT_190,SARIMA,0.06883280721314484,0,390.054009712575,104.52995861247493
MT_086,SARIMA,0.06974246975643088,0,437.64181257091957,149.53556817489024
MT_255,SARIMA,0.06980196878952553,0,617.5729715647191,198.55212410086878
MT_098,SARIMA,0.07042083092832692,0,682.3580824294175,429.99267977788725
MT_105,SARIMA,0.07151270021711095,0,219.3173341710034,153.1141961148605
