model,MAE,RMSE,MAPE,SMAPE,R2,Forecast_Accuracy_pct,Forecast_Bias_pct,Directional_Accuracy_pct
XGBoost-Optuna,49.42445651724997,233.484432751211,7.147968146723098,8.071242506550243,0.9909809165829807,92.85203185327691,-0.03862525221221401,73.15898742127392
XGBoost,47.769498341313934,218.79379084619646,7.55428191979326,8.28283808580348,0.9920801577747292,92.44571808020675,-0.2502932350065174,73.98332141174828
Naïve (Lag-24h),44.24535720943652,214.87252675212903,8.041287382708754,7.6742157048188595,0.9923614957313891,91.95871261729125,-0.2027320917888939,73.8463685688864
LightGBM,47.774326804551386,208.71190051308142,8.192055421530135,8.499041843639665,0.9927932248988564,91.80794457846987,0.27994110232906594,73.99640607826376
"TFT (3-months, 1-step-ahead)",76.67653338376397,281.3623821943688,14.963201021219058,13.209510596014107,0.9867643482174432,85.03679897878094,0.18188812910902508,64.644203476034
DeepAR (all clients),103.77800877305368,368.42047679821263,15.396640313260775,15.389959403946449,0.9794804250176473,84.60335968673922,12.581506998526237,72.12815837457671
