client_id,model,MAE,RMSE,MAPE,SMAPE,Forecast_Accuracy_pct,n_test_rows
MT_001,Naïve (Lag-24h),0.6673523552207861,1.119204288158898,51.426364869574314,33.91339165867354,48.573635130425686,744
MT_002,Naïve (Lag-24h),1.1261261261261282,1.8436361263997332,4.653422194774271,4.646294690252533,95.34657780522573,744
MT_003,Naïve (Lag-24h),0.17633100716534497,0.34508494378320376,11.020114518098397,10.597609004381065,88.9798854819016,744
MT_004,XGBoost-Optuna,12.119597830423487,16.491107959609067,8.421013415401966,8.41118954227579,91.57898658459803,744
MT_005,XGBoost-Optuna,6.066114113520309,7.7323769382206295,8.734965282713633,8.884569403299707,91.26503471728637,744
MT_006,XGBoost-Optuna,18.890491575933517,25.760005464930906,8.037722933210745,8.123978521611896,91.96227706678926,744
MT_007,Naïve (Lag-24h),0.769487347812081,1.069464039468423,15.493707912247345,15.224947763123403,84.50629208775266,744
MT_008,XGBoost-Optuna,21.843376864367034,30.411825526448084,7.931519744562027,7.879403515002657,92.06848025543798,744
MT_009,XGBoost-Optuna,6.200179557117611,8.599765801291403,10.406211636041306,10.345160709125436,89.5937883639587,744
MT_010,XGBoost-Optuna,10.274181486044421,15.875191209099908,17.969166228393956,15.899895777925105,82.03083377160604,744
MT_011,XGBoost-Optuna,3.7907866758446276,5.001320141857772,8.95947429971649,8.86456219070402,91.04052570028351,744
MT_012,XGBoost-Optuna,14.043597525738669,19.926273382412514,8.659898432706608,8.648984922050474,91.34010156729339,744
MT_013,XGBoost-Optuna,11.257392096190838,17.902701629345312,19.81352120726447,16.849096153306228,80.18647879273553,744
MT_014,XGBoost-Optuna,5.8676615043991065,8.381991526409145,10.975340583523112,10.603645811539465,89.0246594164769,744
MT_015,XGBoost-Optuna,4.253077704821927,6.223402506524527,7.868241715747833,7.664071418145707,92.13175828425217,744
MT_016,XGBoost-Optuna,4.515799053417171,6.981731975342739,10.832646529214522,11.22020188977612,89.16735347078549,744
MT_017,XGBoost-Optuna,3.7202848778952675,5.050335246916915,6.666007977305139,6.745598620270214,93.33399202269486,744
MT_018,XGBoost-Optuna,29.164411520490223,38.79536434047386,10.397914263216284,10.319628587163615,89.60208573678372,744
MT_019,Naïve (Lag-24h),1.2486829307829488,1.651590491745107,14.211333959729771,13.976118576294969,85.78866604027023,744
MT_020,XGBoost-Optuna,5.672957190637873,7.064853146029392,12.18626402475631,12.010109606523121,87.81373597524369,744
MT_021,XGBoost-Optuna,14.294725010431698,19.698967574023456,7.721048821075989,7.84367564419457,92.27895117892402,744
MT_022,XGBoost-Optuna,4.229030051732174,6.57392544623672,15.108078803270034,13.348783302823247,84.89192119672997,744
MT_023,XGBoost-Optuna,1.4932050721325476,2.255258336047186,17.705027442558258,14.300914762044211,82.29497255744174,744
MT_024,XGBoost-Optuna,3.1474169223574444,4.210396928025196,8.528570550779598,8.476486583263315,91.47142944922041,744
MT_025,XGBoost-Optuna,21.897192918311497,28.748248390456272,8.79011921760716,8.691368224158726,91.20988078239284,744
MT_026,XGBoost-Optuna,3.1570101542965565,4.347623358095432,11.88765658739711,11.849748220393797,88.11234341260288,744
MT_027,XGBoost-Optuna,2.3785240203444666,3.1274136800393197,9.106834918300729,9.109563164195656,90.89316508169927,744
MT_028,XGBoost-Optuna,7.601583375752828,10.423334947888286,8.470130641939486,8.791449999202062,91.52986935806051,744
MT_029,XGBoost-Optuna,12.0898158877596,18.045167285308953,15.561683256906594,14.048417203618222,84.43831674309341,744
MT_030,XGBoost-Optuna,3.563617211715848,4.787292933225977,7.967352136652431,7.929474907921111,92.03264786334756,744
MT_031,XGBoost-Optuna,9.156330275144287,12.31195266635059,8.868112972865823,8.945886084611589,91.13188702713418,744
MT_032,XGBoost-Optuna,2.100296718672613,2.6307570807468896,8.110028016793155,8.159877244747433,91.88997198320685,744
MT_033,XGBoost-Optuna,3.8975567251547094,5.241870558016626,7.578924940121981,7.523011942612282,92.42107505987802,744
MT_034,Naïve (Lag-24h),1.4830574296419539,2.21335368062116,8.547998118426031,8.391052963083585,91.45200188157396,744
MT_035,XGBoost-Optuna,12.387101904229569,16.705678206608255,8.743337268286098,8.916054202579186,91.2566627317139,744
MT_036,XGBoost-Optuna,9.365923248660112,14.631063156918525,45.25735211878451,30.80690196753764,54.74264788121549,744
MT_037,XGBoost-Optuna,9.25483650884599,12.372189741251493,7.057887502971385,7.158427770820299,92.94211249702862,744
MT_038,XGBoost-Optuna,10.652412115987321,14.817883680021326,8.128448891582467,8.081048386632459,91.87155110841753,744
MT_039,XGBoost-Optuna,5.276054908482989,7.58961879895511,10.317063525253605,10.240649478108631,89.6829364747464,744
MT_040,XGBoost-Optuna,5.086501946534359,7.351326346797518,14.486823861363627,13.81331456829905,85.51317613863637,744
MT_041,XGBoost-Optuna,7.257774157724544,9.418732228635962,7.1744363531285105,7.222481904339108,92.82556364687149,744
MT_042,XGBoost-Optuna,4.467788034009801,6.000702397199751,8.300791571666032,8.541560917318918,91.69920842833398,744
MT_043,XGBoost-Optuna,96.38495274279941,131.54721697552952,7.77678900282398,7.848729517989293,92.22321099717603,744
MT_044,XGBoost-Optuna,4.076494792487972,5.3995960368492035,10.035278197265342,10.355271052883767,89.96472180273466,744
MT_045,XGBoost-Optuna,20.47871763673283,29.247688535784356,28.6062102796304,22.389955442731143,71.3937897203696,744
MT_046,XGBoost-Optuna,16.168969675785448,21.675072779187047,10.019272616084967,10.083037356145015,89.98072738391504,744
MT_047,XGBoost-Optuna,2.811098699646178,3.7303862713758265,9.36521140130111,9.136955919933746,90.63478859869889,744
MT_048,XGBoost-Optuna,1.8186528732713825,2.3847045885342757,10.56576506180263,10.495959449857448,89.43423493819736,744
MT_049,XGBoost-Optuna,81.69527137474572,109.69335632164858,7.331682344145754,7.530314540536407,92.66831765585425,744
MT_050,XGBoost-Optuna,17.17952560833821,23.575418363994196,7.845484370152676,7.978021830420992,92.15451562984732,744
MT_051,XGBoost-Optuna,5.296025784185636,6.8584646800381215,8.799948078356929,8.870209491638953,91.20005192164307,744
MT_052,XGBoost-Optuna,3.014422798099767,3.9606338125989025,8.356050321454807,8.350003965984074,91.6439496785452,744
MT_053,XGBoost-Optuna,7.279714900874345,10.764731171413453,9.023293466953316,9.254953446037142,90.97670653304668,744
MT_054,XGBoost-Optuna,4.785913115985575,6.454044675500969,5.754065243150731,5.778266154081874,94.24593475684927,744
MT_055,XGBoost-Optuna,2.288696559956547,3.2405702466143773,10.232775201622726,10.421770281076387,89.76722479837727,744
MT_056,XGBoost-Optuna,2.8766455288549664,3.9805945178287763,6.470671315430213,6.574192468458081,93.52932868456979,744
MT_057,XGBoost,2.4654959663468965,4.416426364424126,97.23106508475999,15.046812677431037,2.76893491524001,744
MT_058,XGBoost-Optuna,9.468404075999835,12.599438217247194,9.771783447708579,10.009843240937991,90.22821655229143,744
MT_059,XGBoost-Optuna,15.604691298873346,20.16343909719948,11.633820040143428,11.414895174340424,88.36617995985657,744
MT_060,XGBoost-Optuna,2.3256422628389433,3.0881779921244457,7.7093607160383755,7.731059105289138,92.29063928396162,744
MT_061,XGBoost-Optuna,9.250387516245937,11.719668922550593,11.297219104046182,11.052825409368664,88.70278089595382,744
MT_062,XGBoost-Optuna,6.194626049541612,8.054283507193723,7.745529360079556,7.952519919034211,92.25447063992044,744
MT_063,XGBoost-Optuna,2.8051610610948967,3.8241541479176044,12.69400833778149,12.226658012110205,87.3059916622185,744
MT_064,XGBoost-Optuna,133.25259425707816,210.0963697105259,10.5977703171932,9.086059421307619,89.4022296828068,744
MT_065,XGBoost-Optuna,6.663580320214709,8.734308495397677,8.911045480846107,8.88215202142255,91.08895451915389,744
MT_066,XGBoost-Optuna,5.58176293413066,7.453969083133275,8.570795290806815,8.754960103726118,91.42920470919319,744
MT_067,XGBoost-Optuna,18.29977502665529,23.544370083190657,8.865928573909027,8.909975018083475,91.13407142609097,744
MT_068,XGBoost-Optuna,13.639028968084885,18.852924845356036,9.079483180940196,8.975786617940482,90.9205168190598,744
MT_069,XGBoost-Optuna,14.866571152763528,20.18850957880009,7.148449037167769,7.283816151612624,92.85155096283223,744
MT_070,XGBoost-Optuna,4.098289962486203,5.443118772870259,8.87190941093032,8.885436366898256,91.12809058906969,744
MT_071,XGBoost-Optuna,4.036350677291599,5.509862538777964,6.754449015855012,6.819023568146967,93.24555098414498,744
MT_072,XGBoost-Optuna,8.590932697294745,11.126649823335937,6.694358124029528,6.870908911494218,93.30564187597047,744
MT_073,XGBoost-Optuna,3.553998422670136,4.657749948436532,7.1319512382011006,7.122115484190755,92.8680487617989,744
MT_074,XGBoost-Optuna,7.640427627127899,10.343595901582795,7.149311745946936,7.249786859192267,92.85068825405307,744
MT_075,XGBoost-Optuna,4.703006660592346,6.138819942772056,7.466550050044965,7.649283741410269,92.53344994995504,744
MT_076,XGBoost-Optuna,5.782021034534224,8.0795385401865,7.21571688911899,7.476051979082619,92.784283110881,744
MT_077,XGBoost-Optuna,5.323345385392782,8.039311247921727,14.412213972437584,12.97480641112904,85.58778602756242,744
MT_078,XGBoost-Optuna,3.591384351508062,4.587766359268017,7.4059588058514,7.474635629342043,92.5940411941486,744
MT_079,XGBoost-Optuna,4.299395271852095,5.487799601453174,12.161429556603128,12.344464766214273,87.83857044339688,744
MT_080,XGBoost-Optuna,2.109468507072269,2.740803507989843,12.757869483321768,12.300013597992354,87.24213051667823,744
