model,MAE,RMSE,MAPE,Forecast_Accuracy_pct,n_rows
Naive_24h,78.90853036825085,459.73312252158814,73.87998976285768,26.120010237142324,8880
Naive_168h,71.8996839505837,547.0241038324118,14.397001002766565,85.60299899723344,8880
Naive_Blend,62.509636981504954,347.27348242998096,54.23101400291317,45.76898599708683,8880
LightGBM,62.72558386404552,321.20947730171247,49.241323607686944,50.758676392313056,8880
XGBoost,62.27240937066955,367.72656595322536,38.91051465165219,61.08948534834781,8880
LGB_XGB_Blend,61.60627777314735,334.9124078408683,44.373926274378064,55.626073725621936,8880
Routed_Best,56.92080226022327,292.0552787586081,38.009169102712654,61.990830897287346,8880
Chicken_Dinner,61.65048669131592,362.66524257045836,57.43070622311469,42.56929377688531,8856
