client_id,Naive_24h_MAE,Naive_168h_MAE,Naive_Blend_MAE,LightGBM_MAE,XGBoost_MAE,LGB_XGB_Blend_MAE,Routed_Best_MAE,Chicken_Dinner_MAE
MT_001,0.37013536379018636,0.7270516074450096,0.3503066835871409,1.0554346750230994,1.4906845864305651,1.2402786570356055,0.3503066835871409,1.4077950374679407
MT_002,1.3854314841156992,0.7186462778568093,1.0505571360834545,1.9106432817260373,1.9665752693961238,1.8549590549727792,1.0505571360834545,1.677073501554182
MT_003,0.07240081088908196,0.0,0.05068056762235753,1.2395432468607044,1.4648065401649515,1.22549721685559,0.0,1.3316849034824285
MT_004,23.860941734417352,8.341802168021678,17.930640243902427,15.415797727536846,15.520308520412698,15.224519075557799,15.520308520412698,14.330085500304731
MT_005,6.770833333333351,5.6910569105691,5.666920731707324,6.7168435910043796,6.03669607736231,6.360376378611899,5.666920731707324,5.629905828160207
MT_006,21.174355158730084,14.94295634920634,14.10900297619042,19.770116504083564,16.29921362135146,18.12591107131936,18.12591107131936,11.329743786766363
MT_007,1.271905031091013,2.2376107028453007,1.454446956849446,2.0973731631538546,2.229356126780113,2.0910303653538143,1.271905031091013,1.2825616320913138
MT_008,40.54433221099879,19.360269360269335,30.667789001122305,32.83766159759342,32.910052116471086,32.71368538174591,32.71368538174591,21.637696112667452
MT_009,6.410256410256404,5.863927738927735,4.760343822843819,7.407808342823781,5.901202381907645,6.538085118621606,5.901202381907645,4.967840068464615
MT_010,16.09543010752689,5.443548387096775,11.57818100358424,7.307673646539757,8.445750737275704,7.7319026695396715,8.445750737275704,8.567125780960106
MT_011,3.586065573770492,3.6869721808246503,2.6057190760059625,4.5432631907298,3.6312501102434234,4.094382390432656,3.6312501102434234,2.658120519274053
MT_012,16.66666666666663,20.74468085106391,9.867021276595695,14.400116285187075,10.179797287528386,12.25212027503482,12.25212027503482,8.887220045272523
MT_013,24.841072415699276,3.342661691542291,17.12876589275842,13.584888758164048,15.094214141533612,14.26408463231762,3.342661691542291,21.94690334510453
MT_014,6.747234630929587,3.044564986173155,4.7868804509678755,4.073566994877104,4.0548835770420935,3.6997873806625505,3.6997873806625505,10.313757861667463
MT_015,6.910000215220383,4.788653581267213,4.791497180612944,4.334561410649918,4.243052536462618,3.8690710114268696,3.8690710114268696,12.315673726278524
MT_016,15.124157649962035,11.485264806378128,13.537757450645406,15.992871259327098,16.577082668006096,16.255766965437235,13.537757450645406,11.40730040878853
MT_017,5.053908355795142,4.258385744234795,4.704814315663369,7.6726888485247144,6.748007668674834,7.191988420836643,6.748007668674834,4.311626017391942
MT_018,33.28008519701817,25.592385516506912,20.896565495207668,17.734117955589664,23.997726245429217,20.1080625305279,23.997726245429217,19.706310472032342
MT_019,1.3325481574539355,1.4125575795644876,1.1440300460636499,1.8579473943323197,1.6087372560596924,1.4882594352173655,1.1440300460636499,2.109678541986192
MT_020,6.76395007342144,5.8828928046989715,5.4203377386196765,3.5513552175519494,3.8763850088861758,3.494452331462803,3.8763850088861758,5.458116754000367
MT_021,26.832460732984327,11.316535776614364,20.94513525305418,20.436628018238647,22.246173895258355,21.10866893516598,22.246173895258355,16.817980741694317
MT_022,11.006901203819012,3.1652137816521417,7.494681403071813,3.524680691902489,5.8680144883429435,4.563759281323783,5.8680144883429435,13.638707295912582
MT_023,1.6009784520668406,0.0,1.1206849164467885,2.781153226259214,1.429754912329013,1.8865444836990086,1.1206849164467885,1.9438360803515706
MT_024,5.079732510288069,2.8149291266575265,3.9201817558299017,3.5031718837495434,3.754270631099429,3.341069495801747,3.754270631099429,3.9506330296597696
MT_025,24.72741433021808,28.183411214953267,16.077686915887835,18.898400157880385,15.524679391926298,17.362849423850818,15.524679391926298,15.479447944472497
MT_026,6.841454802259887,4.228460451977408,5.2454096045197725,4.751997619395083,5.666825119384939,5.0189222409220395,4.228460451977408,4.109320769357941
MT_027,1.8904790905399877,1.6494112870483129,1.4705136012992213,3.2551648973999683,3.5213333604009533,3.369503396235949,1.4705136012992213,2.1179511637093973
MT_028,8.912816811036238,8.652149502727033,7.3588386268848085,8.68820194002363,8.570021186304816,8.56032455145535,8.570021186304816,7.109367756631062
MT_029,34.38269672302231,6.666144854936282,23.672615320392385,17.058915682189358,16.931842998233115,16.95101476110162,16.931842998233115,14.207934818712332
MT_030,6.783232304677945,3.7906410727406303,4.682440913543972,4.547360190837745,5.365044909833903,4.904390824704862,4.682440913543972,4.068447480913967
MT_031,19.78824013157894,11.30756578947363,13.772957785087703,15.655387947550489,14.869578913638458,15.272300472937054,14.869578913638458,9.329543071812843
MT_032,2.449244570349386,4.809962228517467,2.4590808939250834,3.0061145410472867,3.5172948055309354,3.2143882003311526,2.4590808939250834,4.55897990147751
MT_033,3.956246521981076,5.364844184752354,3.6762659988870308,7.074880032098623,4.9303173490809735,6.0344813222051075,4.9303173490809735,8.076819321561596
MT_034,0.77106610800745,1.1856959962756095,0.7426966945996303,1.900063773861404,2.4115997357519428,2.1230409635663796,0.7426966945996303,1.4695601923166572
MT_035,17.434364744491265,15.207454289732759,12.353492733239511,15.051332817162416,13.615055036835344,14.163827512971835,13.615055036835344,9.674765228675264
MT_036,15.490533562822733,4.894578313253017,12.046399885255317,11.230987226604093,14.867526152047787,12.867429468872393,14.867526152047787,20.425987892187447
MT_037,17.287234042553226,12.330754352030974,13.382495164410065,16.263358703689025,14.533006473789705,15.239571054607206,14.533006473789705,11.308621289578156
MT_038,21.36309718586392,9.588855257417114,16.486474694589916,13.589979027782233,14.997240302866473,13.815253664295499,13.589979027782233,13.710576545948586
MT_039,10.383664117504248,4.301711580480705,6.7731473051711575,5.403623217731073,6.89677868464758,6.075543444077581,6.89677868464758,4.403644669800227
MT_040,2.86172161172161,2.77586996336996,2.7329441391941356,4.687030357524104,3.4612678887643202,4.132851887124114,2.86172161172161,18.97101086604736
MT_041,11.168560606060604,9.289299242424265,7.723626893939367,10.31140921871273,8.890899744900826,9.617710723603047,8.890899744900826,5.748008286883113
MT_042,3.832724481152044,5.35108269800931,3.3299515565438305,4.468898486087358,3.7730067118604644,4.129905692784097,3.7730067118604644,4.499074145200947
MT_043,155.91145833333306,99.66856060606126,118.86813446969705,138.65865066306372,127.3353357026072,131.81570892086907,127.3353357026072,105.03056898673788
MT_044,5.550647820965845,2.8931095406360385,4.154151943462899,6.453455240859923,6.558191665069792,6.500587259589953,4.154151943462899,3.0705620645921297
MT_045,43.942822899041154,64.46145304568527,42.378498660462476,49.73006076976236,35.69494731373795,43.41425966686766,35.69494731373795,46.37790144463497
MT_046,17.278830963665115,20.833333333333368,14.316745655608242,14.981719355213615,16.117939436793524,15.461657785831092,16.117939436793524,15.216361859531103
MT_047,2.8303760593220324,1.8207097457627082,1.9260902189265536,2.7434555461892303,2.0672273979348685,2.2852939656757383,2.0672273979348685,1.8575320062843286
